id_estado,estado_actual_deljugador,estado_id_jugador
1,Jugando,1
2,Retirado,2
3,Retirado,3
4,Retirado,4
5,Retirado,5
6,Retirado,6
7,Retirado,7
8,Retirado,8
9,Retirado,9
10,Jugando,10
11,Retirado,11
12,Retirado,12
13,Retirado,13
14,Retirado,14
15,Retirado,15
16,Retirado,16
17,Retirado,17
18,Retirado,18
19,Retirado,19
20,Retirado,20
21,Retirado,21
22,Retirado,22
23,Retirado,23
24,Retirado,24
25,Retirado,25
26,Retirado,26
27,Retirado,27
28,Retirado,28
29,Retirado,29
30,Retirado,30
31,Retirado,31
32,Retirado,32
33,Retirado,33
34,Retirado,34
35,Retirado,35
36,Retirado,36
37,Retirado,37
38,Retirado,38
39,Jugando,39
40,Jugando,40
41,Jugando,41
42,Jugando,42
43,Jugando,43
44,Jugando,44
45,Jugando,45
46,Jugando,46
47,Jugando,47
48,Jugando,48
49,Jugando,49
50,Jugando,50
51,Jugando,51
52,Jugando,52
53,Jugando,53
54,Jugando,54
55,Jugando,55
56,Jugando,56
57,Jugando,57
58,Jugando,58
59,Jugando,59
60,Jugando,60
61,Retirado,61
62,Retirado,62
63,Retirado,63
64,Retirado,64
65,Jugando,65
66,Retirado,66
67,Retirado,67
68,Retirado,68
69,Retirado,69
70,Jugando,70
71,Retirado,71
72,Retirado,72
73,Retirado,73
74,Retirado,74
75,Retirado,75
76,Retirado,76
77,Retirado,77
78,Retirado,78
79,Retirado,79
80,Retirado,80
81,Retirado,81
82,Retirado,82
83,Retirado,83
84,Retirado,84
85,Retirado,85
86,Retirado,86
87,Retirado,87
88,Retirado,88
89,Retirado,89
90,Retirado,90
91,Retirado,91
92,Retirado,92
93,Retirado,93
94,Retirado,94
95,Retirado,95
96,Retirado,96
97,Retirado,97
98,Retirado,98
99,Retirado,99
100,Retirado,100
,,
