id_jugador,nombre_apellido,fecha_nacimiento,fecha_debut,numero_camiseta,debut_id_dt,gano_id_titulo,participo_id_participo
1,Lionel Messi,1987-06-24,2005-08-17,10,1,1,1
2,Diego Maradona,1960-10-30,1977-02-27,10,2,2,2
3,Alfredo Di Stéfano,1926-04-07,1947-04-12,0,3,3,3
4,Gabriel Batistuta,1969-01-02,1991-06-27,9,4,4,4
5,Mario Kempes,1954-07-15,1973-09-23,10,5,5,5
6,Javier Zanetti,1973-10-08,1994-11-16,4,6,6,6
7,Juan Román Riquelme,1978-06-24,1997-11-16,8,7,7,7
8,Carlos Tévez,1984-05-02,2004-03-30,11,8,8,8
9,Sergio Agüero,1988-02-06,2006-03-09,16,9,9,9
10,Ángel Di María,1988-02-14,2008-06-09,11,10,10,10
11,Ricardo Bochini,1954-01-25,1982-06-22,10,11,11,11
12,Hernán Crespo,1975-05-07,1995-02-14,9,12,12,12
13,Ubaldo Fillol,1950-07-21,1974-09-20,1,13,13,13
14,Daniel Passarella,1953-05-25,1974-09-20,6,14,14,14
15,Roberto Ayala,1973-04-14,1994-11-16,2,15,15,15
16,Osvaldo Ardiles,1952-03-08,1975-03-14,8,16,16,16
17,Claudio Caniggia,1967-09-01,1987-10-05,7,17,17,17
18,Pablo Aimar,1979-03-11,1999-09-06,8,18,18,18
19,Fernando Redondo,1969-06-06,1992-07-18,5,19,19,19
20,Martín Palermo,1973-07-11,1999-03-02,9,20,20,20
21,Américo Gallego,1955-04-25,1975-02-27,5,21,21,21
22,Leopoldo Luque,1949-03-05,1975-12-10,9,22,22,22
23,Enrique Wolff,1949-02-21,1972-09-20,2,23,23,23
24,Daniel Bertoni,1955-03-14,1976-07-04,7,24,24,24
25,Jorge Valdano,1955-04-10,1979-06-20,11,25,25,25
26,José Luis Brown,1956-10-11,1983-05-16,6,26,26,26
27,Nery Pumpido,1957-07-30,1983-03-06,1,27,27,27
28,Pedro Pasculli,1960-05-17,1983-05-27,19,28,28,28
29,Héctor Enrique,1962-04-26,1986-10-05,12,29,29,29
30,Oscar Ruggeri,1962-01-26,1983-02-27,19,30,30,30
31,Sergio Goycochea,1963-10-17,1987-04-19,12,31,31,31
32,Jorge Burruchaga,1962-09-10,1983-12-05,7,32,32,32
33,Julio Olarticoechea,1958-10-18,1982-09-23,16,33,33,33
34,Diego Simeone,1970-04-28,1988-07-14,14,34,34,34
35,Ariel Ortega,1974-04-03,1993-12-16,10,35,35,35
36,Gustavo López,1973-04-13,1994-06-22,15,36,36,36
37,Walter Samuel,1978-03-23,1999-03-06,6,37,37,37
38,Diego Milito,1979-12-06,2003-01-31,22,38,38,38
39,Javier Saviola,1981-11-12,2001-06-16,7,39,39,39
40,Maxi Rodríguez,1981-02-01,2003-08-06,11,40,40,40
41,Rodrigo De Paul,1994-05-24,2018-11-10,7,41,41,41
42,Lautaro Martínez,1997-08-22,2018-03-27,22,42,42,42
43,Emiliano Martínez,1992-02-09,2021-03-06,23,43,43,43
44,Nicolás Otamendi,1988-12-02,2009-05-20,19,44,44,44
45,Giovani Lo Celso,1996-09-04,2017-11-11,20,45,45,45
46,Leandro Paredes,1994-06-29,2017-06-13,5,46,46,46
47,Marcos Acuña,1991-10-28,2016-11-15,8,47,47,47
48,Enzo Fernández,2001-01-17,2022-09-24,24,48,48,48
49,Alexis Mac Allister,1998-12-24,2019-06-09,20,49,49,49
