id_mundial,gano_mundial(?),mundial_id_mundial
1,Sí,1
2,Sí,2
3,No,3
4,No,4
5,Sí,5
6,No,6
7,No,7
8,No,8
9,No,9
10,Sí,10
11,Sí,11
12,No,12
13,Sí,13
14,Sí,14
15,No,15
16,Sí,16
17,No,17
18,No,18
19,No,19
20,No,20
21,Sí,21
22,Sí,22
23,No,23
24,Sí,24
25,Sí,25
26,Sí,26
27,Sí,27
28,Sí,28
29,Sí,29
30,Sí,30
31,Sí,31
32,Sí,32
33,Sí,33
34,No,34
35,No,35
36,No,36
37,No,37
38,No,38
39,No,39
40,No,40
41,Sí,41
42,Sí,42
43,Sí,43
44,Sí,44
45,Sí,45
46,Sí,46
47,Sí,47
48,Sí,48
49,Sí,49
50,Sí,50
51,Sí,51
52,Sí,52
53,Sí,53
54,Sí,54
55,Sí,55
56,Sí,56
57,Sí,57
58,Sí,58
59,Sí,59
60,No,60
61,No,61
62,No,62
63,No,63
64,No,64
65,No,65
66,No,66
67,No,67
68,No,68
69,No,69
70,No,70
71,No,71
72,No,72
73,No,73
74,No,74
75,No,75
76,No,76
77,No,77
78,No,78
79,No,79
80,No,80
81,No,81
82,No,82
83,No,83
84,No,84
85,No,85
86,No,86
87,No,87
88,No,88
89,No,89
90,No,90
91,No,91
92,No,92
93,No,93
94,No,94
95,No,95
96,No,96
97,No,97
98,No,98
99,No,99
100,No,100
